iter	Passed	Remaining
0	12	2506
1	21	2123
2	30	2023
3	40	1974
4	49	1914
5	57	1866
6	66	1823
7	74	1786
8	83	1768
9	92	1754
10	97	1674
11	105	1659
12	114	1648
13	124	1650
14	135	1666
15	144	1660
16	154	1664
17	163	1655
18	173	1649
19	181	1637
20	191	1629
21	200	1620
22	209	1614
23	219	1611
24	229	1607
25	238	1598
26	248	1593
27	257	1582
28	266	1574
29	276	1566
30	285	1555
31	294	1544
32	302	1532
33	311	1522
34	321	1513
35	329	1502
36	338	1492
37	347	1480
38	355	1468
39	364	1458
40	373	1446
41	381	1436
42	390	1425
43	399	1414
44	407	1403
45	417	1397
46	426	1387
47	435	1380
48	444	1370
49	453	1360
50	462	1350
51	470	1339
52	479	1329
53	488	1319
54	496	1309
55	505	1299
56	514	1290
57	522	1280
58	531	1271
59	540	1261
60	549	1251
61	557	1241
62	566	1231
63	575	1223
64	584	1214
65	593	1204
66	602	1195
67	611	1186
68	619	1176
69	628	1167
70	637	1159
71	646	1149
72	655	1139
73	664	1130
74	672	1120
75	681	1112
76	690	1102
77	699	1093
78	708	1085
79	717	1076
80	726	1067
81	735	1058
82	744	1049
83	753	1040
84	762	1031
85	771	1022
86	779	1012
87	788	1004
88	797	994
89	806	985
90	814	976
91	823	966
92	833	958
93	842	949
94	851	940
95	860	931
96	868	922
97	877	913
98	886	904
99	894	894
100	903	885
101	912	876
102	921	867
103	930	858
104	939	850
105	949	841
106	958	832
107	967	823
108	975	814
109	984	805
110	992	796
111	1001	787
112	1010	777
113	1018	768
114	1028	759
115	1033	748
116	1042	739
117	1050	730
118	1059	721
119	1068	712
120	1071	699
121	1079	690
122	1088	681
123	1097	672
124	1105	663
125	1114	654
126	1123	645
127	1131	636
128	1141	628
129	1150	619
130	1158	610
131	1167	601
132	1176	592
133	1185	583
134	1194	575
135	1203	566
136	1212	557
137	1221	548
138	1230	540
139	1240	531
140	1248	522
141	1257	513
142	1267	505
143	1276	496
144	1285	487
145	1293	478
146	1303	469
147	1311	460
148	1320	452
149	1329	443
150	1338	434
151	1347	425
152	1356	416
153	1365	407
154	1374	399
155	1383	390
156	1392	381
157	1402	372
158	1411	363
159	1420	355
160	1430	346
161	1439	337
162	1448	328
163	1458	320
164	1467	311
165	1476	302
166	1485	293
167	1494	284
168	1504	275
169	1512	266
170	1521	258
171	1530	249
172	1539	240
173	1547	231
174	1556	222
175	1565	213
176	1573	204
177	1582	195
178	1591	186
179	1600	177
180	1610	169
181	1619	160
182	1629	151
183	1638	142
184	1648	133
185	1657	124
186	1666	115
187	1675	106
188	1684	98
189	1693	89
190	1702	80
191	1710	71
192	1719	62
193	1728	53
194	1738	44
195	1746	35
196	1755	26
197	1764	17
198	1773	8
199	1782	0
